locations:,,,,,,,,,,,,
1,1,1,1,0,0,0,0,0,1,1,1,1
1,11,3|14,3,1,0,0,0,1,3|8,3,3|7,1
1,1,1,3,3,1,1,1,3|8,3,3,3,1
1,1,1,1,3,3,3,3,3,1,1,1,1
0,0,0,0,1,3,3,3,1,0,0,0,0
0,0,0,0,0,1,3,1,0,0,0,0,0
0,0,0,0,0,1,3,1,0,0,0,0,0
0,0,0,0,1,3,3,3,1,0,0,0,0
1,1,1,1,3|8,3,3,3,3,1,1,1,1
1,3,3,3|8,3,1,1,1,3,3,1,1,1
1,3|4,3,3,1,0,0,0,1,3,3|13,10,1
1,1,1,1,0,0,0,0,0,1,1,1,1
end,,,,,,,,,,,,
scale:,,,,,,,,,,,,
50,,,,,,,,,,,,
end,,,,,,,,,,,,
stuff:,,,,,,,,,,,,
0,None,,,,,,,,,,,
1,SpriteBox,color,blue,scale,scale,,,,,,,
2,SpriteBox,color,cyan,scale,scale,,,,,,,
3,SpriteBox,color,darkblue,scale,scale,,,,,,,
4,item,for_loop,,,,,,,,,,
5,item,while_loop,,,,,,,,,,
6,item,dict,,,,,,,,,,
7,item,list,,,,,,,,,,
8,entity,enemy1,,,,,,,,,,
10,SpriteBox,color,cyan,scale,scale,,,,,,,
11,SpriteBox,color,cyan,scale,scale,,,,,,,
12,entity,enemy2,,,,,,,,,,
13,SpriteBox,color,gold,scale,scale,,,,,,,
14,SpriteBox,color,gold,scale,scale,,,,,,,
end,,,,,,,,,,,,
tags:,,,,,,,,,,,,
0,,,,,,,,,,,,
1,tile,wall,,,,,,,,,,
2,tile,to_map1,warp,,,,,,,,,
10,tile,to_map1,warp,,,,,,,,,
11,tile,to_map4,warp,,,,,,,,,
3,tile,,,,,,,,,,,
4,pick_up,top,,,,,,,,,,
5,pick_up,top,,,,,,,,,,
6,pick_up,top,,,,,,,,,,
7,pick_up,top,,,,,,,,,,
8,enemy,top,vertical,,,,,,,,,
12,enemy,top,,,,,,,,,,
13,gate,top,for_loop,,,,,,,,,
14,gate,top,else,,,,,,,,,
end,,,,,,,,,,,,
dialogue,,,,,,,,,,,,
100,36,,,,,,,,,,,
end,,,,,,,,,,,,
text,,,,,,,,,,,,
list_pu,You picked up the LIST ability damn right you did boy,,,,,,,,,,,
dict_pu,You picked up the DICT ability,,,,,,,,,,,
for_loop_pu,You picked up the FOR ability ,,,,,,,,,,,
while_loop_pu,You picked up the WHILE LOOP ability,,,,,,,,,,,
bob_meet,I can't believe it!  You're still moving...  Prepare to perish!,,,,,,,,,,,
print_pu,You picked up the PRINT ability ,,,,,,,,,,,
gate_print_yes,PASS,,,,,,,,,,,
gate_print_no,BLOCKED,,,,,,,,,,,
gate_list_yes,PASS,,,,,,,,,,,
gate_list_no,BLOCKED,,,,,,,,,,,
gate_forloop_no,BLOCKED,,,,,,,,,,,
gate_forloop_yes,PASS,,,,,,,,,,,
gate_else_yes,PASS,,,,,,,,,,,
gate_else_no,BLOCKED,,,,,,,,,,,
end,,,,,,,,,,,,
warps,,,,,,,,,,,,
to_map1,2,2,8,,,,,,,,,
to_map2,0,3,1,,,,,,,,,
to_map3,4,9,18,,,,,,,,,
to_map4,0,3,1,,,,,,,,,
end,,,,,,,,,,,,
